OG_ID	gene_name	short_gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Heart	de_Heart
OG_0000012	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000082	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000086	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001155	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001165	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001172	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001281	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001374	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001415	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001648	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001937	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001976	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001978	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001988	FGFR1	XM_015297363.4.203	TRUE	1	0	FALSE	TRUE	1
OG_0002016	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002266	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002273	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002287	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002292	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002405	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002423	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002446	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002450	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002464	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002507	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0002557	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002594	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002603	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002712	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002877	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002930	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002937	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002946	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003045	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003155	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003159	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003164	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003201	NA	NA	FALSE	0	0	FALSE	TRUE	1
