OG_ID	gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Brain	de_Brain
OG_0000039	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000068	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000082	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000086	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000087	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000126	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000129	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000149	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000157	EP400	TRUE	1	0	FALSE	TRUE	1
OG_0000278	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000283	NA	FALSE	0	0	TRUE	TRUE	1
OG_0000313	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000348	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000353	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000374	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000396	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000401	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000413	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001092	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001121	PDLIM3	TRUE	1	0	FALSE	TRUE	1
OG_0001140	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001154	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001155	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001165	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001172	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001185	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001202	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001224	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001288	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001333	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001334	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001342	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001369	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001374	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001403	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001415	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001479	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001484	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001613	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001629	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001632	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001648	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001717	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001923	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001931	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001937	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001938	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001952	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001953	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001973	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001976	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002018	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002020	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002030	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002038	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002059	NA	FALSE	0	0	TRUE	TRUE	1
OG_0002090	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002096	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002097	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002187	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002249	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002250	NA	FALSE	0	0	TRUE	TRUE	1
OG_0002273	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002274	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002284	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002304	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002351	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002380	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002403	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002464	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002467	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002569	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002606	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002663	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002696	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002711	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002712	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002802	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002804	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002807	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002818	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002833	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002834	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002932	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002937	NA	FALSE	0	0	FALSE	TRUE	1
