OG_ID	rep_gene_name	rep_name_source	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Brain	de_Brain	gene_name
OG_0000039	FHL5	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000068	MAST3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000082	HDAC5	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000086	CLCN7	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000087	CLCN2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000126	GRM1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000129	GRM2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000149	TRPM6	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000157	EP400	taeGut_geneID	TRUE	1	0	FALSE	TRUE	1	EP400
OG_0000278	SYNE2	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000283	SPEG	galGal_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0000313	SLC2A1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000348	NCOR1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000353	NASP	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000374	Cacna1e	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000396	CYP8B1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000401	CYP27A1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000413	LOC140680449	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001092	SLC6A8	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001121	PDLIM3	taeGut_geneID	TRUE	1	0	FALSE	TRUE	1	PDLIM3
OG_0001140	PLCL2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001154	ACAP2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001155	ASAP3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001165	stringtie_mRNA_23724	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001172	EPHB1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001185	EPHA3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001202	CLOCK	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001224	DHX29	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001288	ABCB10	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001333	stringtie_mRNA_36211	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001334	RAB9A	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001342	MRAS	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001369	RAB14	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001374	RAB1A	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001403	SLC12A7	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001415	ARHGEF4	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001479	PLXND1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001484	PLXNA1	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001613	DRP2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001629	MYO9A	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001632	CTNND2	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001648	RBFOX3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001717	Bltp1	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
