OG_ID	gene_name	short_gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Brain	de_Brain
OG_0000039	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000068	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000082	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000086	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000087	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000126	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000129	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000149	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000157	EP400	XM_072936327.1.105	TRUE	1	0	FALSE	TRUE	1
OG_0000278	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000283	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0000313	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000348	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000353	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000374	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000396	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000401	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0000413	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001092	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001121	PDLIM3	PDLIM3	TRUE	1	0	FALSE	TRUE	1
OG_0001140	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001154	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001155	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001165	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001172	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001185	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001202	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001224	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001288	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001333	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001334	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001342	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001369	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001374	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001403	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001415	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001479	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001484	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001613	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001629	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001632	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001648	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001717	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001923	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001931	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001937	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001938	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001952	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001953	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001973	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0001976	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002018	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002020	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002030	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002038	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002059	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0002090	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002096	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002097	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002187	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002249	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002250	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0002273	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002274	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002284	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002304	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002351	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002380	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002403	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002464	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002467	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002569	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002606	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002663	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002696	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002711	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002712	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002802	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002804	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002807	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002818	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002833	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002834	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002932	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002937	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0002984	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003006	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003009	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003045	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003048	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003049	NA	NA	FALSE	0	0	FALSE	TRUE	1
