OG_ID	rep_gene_name	rep_name_source	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Muscle	de_Muscle	gene_name
OG_0000219	MYO18A	taeGut_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0000397	CYP7A1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001116	stringtie_mRNA_44623	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001523	RYR1	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002287	NR4A3	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002576	CCDC186	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002834	TSPAN7	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002864	TRIM63	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002935	RGS2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003052	RADX	taeGut_geneID	TRUE	1	0	FALSE	TRUE	1	CXorf57
OG_0003053	ZNF462	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003064	CTDSPL	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003159	NEDD1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003242	MED14	taeGut_geneID	TRUE	1	0	FALSE	TRUE	1	MED14
OG_0003352	CSRNP1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003402	HSPA2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003658	THOC2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003729	PPIL4	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003901	IKBKB	galGal_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0003907	RFFL	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003954	INPP4B	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003975	ADGRG3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004144	POLK	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004306	GFPT2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004410	PDK3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004425	PLAGL1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004611	RSBN1L	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004999	PDCD11	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005217	CENPE	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005222	HS3ST5	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005328	ZBTB20	taeGut_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0005809	ZNF518A	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005860	NME2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006254	HDLBP	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006530	THOP1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006700	NAB1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006735	MYSM1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006748	YWHAH	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006777	MYOM3	taeGut_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0006815	MRC2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006963	CCDC85C	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007091	ADGRD1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007128	EIF4G2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007137	LDHB	taeGut_geneID	TRUE	1	0	FALSE	TRUE	1	LDHB
OG_0007406	G3BP1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007414	GOLGA4	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007505	PARP1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007652	KIF24	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007701	RSF1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007750	LETM1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007849	ENO1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007906	MYL9	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007943	LOC105759524	taeGut_geneID	TRUE	1	0	FALSE	TRUE	1	mul1a
OG_0008037	LONP1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008064	PDGFRA	taeGut_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0008067	CSF1R	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008146	ak2	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008314	ARMH3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008373	CHPF	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008399	SMC6	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008439	TRAK1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008491	DDX59	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008537	ERMP1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008551	ARSB	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008581	CHN1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008701	ATAD5	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008762	NOP2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008782	KLHL40	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008804	QSOX1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0008958	CEP76	taeGut_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0009065	PCMTD1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009069	PCSK7	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009274	FSD2	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009439	HHIPL1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009565	SOX9	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009614	SYNGR2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009626	BBS9	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009660	TFRC	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009672	SEMA3F	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009689	ETS2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009870	TRAPPC10	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0009892	YDJC	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010051	LRRC3C	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010066	RTN4R	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010079	LOC100224303	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010088	MFHAS1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010127	TMCO3	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010175	CCNT1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010355	PPIG	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010475	DST	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010482	SAMD10	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010558	WBP11	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010650	SPIN1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010664	GDF6	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010849	VWF	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0010893	STOML2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011062	SMARCE1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011114	COQ8A	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011115	ADCK2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011125	TMEM131	parsed_from_gene_id	FALSE	0	0	TRUE	TRUE	1	NA
OG_0011428	MAT2A	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011686	ORC4	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011700	FARSB	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011790	PSKH1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011806	ENDOG	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011853	NTMT1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011868	TROVE2	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0011916	CEBPD	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
