OG_ID	rep_gene_name	rep_name_source	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Liver	de_Liver	gene_name
OG_0000396	CYP8B1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0000401	CYP27A1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001116	stringtie_mRNA_44623	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001165	stringtie_mRNA_23724	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001340	HRAS	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0001952	SMC3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002318	LOC100218258	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002365	MTUS1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002484	SEH1L	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002606	RANBP9	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002712	STX1A	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002808	BTBD6	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0002936	RGS1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003156	REV3L	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003201	C1R	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003336	MIPEP	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003685	CDK5RAP2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003727	PPIL3	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0003806	SLC30A1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004024	RBM15B	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004070	NPR2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004095	DUSP1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004158	BMP7	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004611	RSBN1L	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004708	RUSC1	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004785	GSR	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004824	TFPI2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0004840	P2RY2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005014	LOC100219101	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005135	TOR1AIP2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005328	ZBTB20	taeGut_geneID	FALSE	0	0	TRUE	TRUE	1	NA
OG_0005560	NUP205	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005657	KIF20B	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005747	MIGA2	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005771	LYST	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005773	SEC13	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0005990	KLHL25	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006578	Dmbt1	parsed_from_gene_id	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006678	GCGR	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0006835	ACBD5	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007000	MOV10	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007020	PAH	taeGut_geneID	FALSE	0	0	FALSE	TRUE	1	NA
OG_0007091	ADGRD1	galGal_geneID	FALSE	0	0	FALSE	TRUE	1	NA
